Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-01-01 09:00:00,10H50,Theft,residence/house,1,9,1,Friday,Jan,2010,"(29.731311, -95.36411439999999)","3450 Nagle St, Houston, TX 77004, USA"
2010-01-01 12:00:00,10H50,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,12,1,Friday,Jan,2010,"(29.728306, -95.36597750000001)","2650 Truxillo St, Houston, TX 77004, USA"
2010-01-01 12:00:00,10H50,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,12,1,Friday,Jan,2010,"(29.7294834, -95.3507063)","3450 Rosalie St, Houston, TX 77004, USA"
2010-01-01 12:00:00,10H50,Theft,residence/house,1,12,1,Friday,Jan,2010,"(29.728306, -95.36597750000001)","2650 Truxillo St, Houston, TX 77004, USA"
2010-01-01 12:00:00,10H50,Theft,residence/house,1,12,1,Friday,Jan,2010,"(29.7294834, -95.3507063)","3450 Rosalie St, Houston, TX 77004, USA"
2010-01-01 18:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,18,1,Friday,Jan,2010,"(29.7315931, -95.3599416)","3150 Ennis St, Houston, TX 77004, USA"
2010-01-01 21:00:00,10H50,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",1,21,1,Friday,Jan,2010,"(29.7294834, -95.3507063)","3450 Rosalie St, Houston, TX 77004, USA"
2010-01-03 07:00:00,10H50,Aggravated Assault,apartment,1,7,3,Sunday,Jan,2010,"(29.7255173, -95.3591491)","3850 Burkett St, Houston, TX 77004, USA"
2010-01-04 06:00:00,10H50,Auto Theft,apartment parking lot,1,6,4,Monday,Jan,2010,"(29.7259891, -95.3589106)","3750 Burkett St, Houston, TX 77004, USA"
2010-01-04 10:00:00,10H50,Theft,road/street/sidewalk,1,10,4,Monday,Jan,2010,"(29.7282934, -95.34809109999999)","3150 Milby St, Houston, TX 77004, USA"
2010-01-04 13:00:00,10H50,Burglary,residence/house,1,13,4,Monday,Jan,2010,"(29.725475, -95.3532487)","3550 Holman St, Houston, TX 77004, USA"
2010-01-04 17:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,17,4,Monday,Jan,2010,"(29.7365266, -95.3598641)","2650 McGowen St, Houston, TX 77004, USA"
2010-01-04 17:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,17,4,Monday,Jan,2010,"(29.7289291, -95.3542729)","3350 Elgin St, Houston, TX 77004, USA"
2010-01-04 17:00:00,10H50,Theft,convenience store,1,17,4,Monday,Jan,2010,"(29.7365266, -95.3598641)","2650 McGowen St, Houston, TX 77004, USA"
2010-01-04 17:00:00,10H50,Theft,convenience store,1,17,4,Monday,Jan,2010,"(29.7289291, -95.3542729)","3350 Elgin St, Houston, TX 77004, USA"
2010-01-04 18:00:00,10H50,Theft,driveway,1,18,4,Monday,Jan,2010,"(29.7282263, -95.34477249999999)","3950 Anita St, Houston, TX 77004, USA"
