Date,Beat,BlockRange,StreetName,Offense Type,Premise,Offenses,Hour,address,lat_lon
2017-01-01,20G80,14600-14699,BRIAR FOREST,Theft,Apartment Parking Lot,1.0,12,14600-14699 BRIAR FOREST,"(29.7567919, -95.6424918)"
2017-01-01,19G50,11700-11799,WILCREST,Theft,Bar or Night Club Parking Lot,1.0,19,11700-11799 WILCREST,"(29.6514525, -95.5693261)"
2017-01-01,3B50,7300-7399,IRVINGTON,AutoTheft,Bar or Night Club,1.0,12,7300-7399 IRVINGTON,"(36.0173363, -95.9097797)"
2017-01-01,3B50,6500-6599,AMASA,Aggravated Assault,"Road, Street, or Sidewalk",1.0,2,6500-6599 AMASA,"(29.8167248, -95.3752209)"
2017-01-01,2A50,6700-6799,ARNOT,Theft,"Parks and Recreation, Zoo, Swimming Pool",1.0,9,6700-6799 ARNOT,"(35.14236, -102.0104159)"
2017-01-01,19G50,10300-10399,WILCREST,Theft,Apartment Parking Lot,1.0,18,10300-10399 WILCREST,"(29.669017, -95.5702462)"
2017-01-01,6B40,900-999,FORTUNE,Burglary,Residence or House,1.0,20,900-999 FORTUNE,"(38.12374750000001, -122.2710105)"
2017-01-01,19G50,9600-9699,BISSONNET,Theft,,1.0,11,9600-9699 BISSONNET,"(29.6756728, -95.54607829999999)"
2017-01-01,19G40,11700-11799,BISSONNET,Robbery,Apartment Parking Lot,1.0,21,11700-11799 BISSONNET,"(29.6758777, -95.5830924)"
2017-01-01,19G50,11100-11199,WINDMARK,Theft,Driveway,1.0,2,11100-11199 WINDMARK,"(29.65968789999999, -95.57527449999999)"
2017-01-01,2A50,200-299,KNOX,Theft,"Road, Street, or Sidewalk",1.0,18,200-299 KNOX,"(41.2730772, -86.69228749999999)"
2017-01-01,19G40,11800-11899,FAIRPOINT,Aggravated Assault,Residence or House,2.0,6,11800-11899 FAIRPOINT,"(29.5204435, -98.68267)"
2017-01-01,6B40,7500-7599,BURT,Aggravated Assault,"Road, Street, or Sidewalk",2.0,15,7500-7599 BURT,"(41.2669176, -96.0293717)"
2017-01-01,19G50,10500-10599,WINDMARK,Theft,Driveway,1.0,3,10500-10599 WINDMARK,"(29.6605438, -95.57560769999999)"
2017-01-01,2A50,5300-5399,WASHINGTON,Theft,Bar or Night Club Parking Lot,1.0,12,5300-5399 WASHINGTON,"(42.2582684, -71.1598758)"
2017-01-01,3B10,4800-4899,LAMONTE,Aggravated Assault,Apartment,1.0,13,4800-4899 LAMONTE,"(29.8251541, -95.4610055)"
2017-01-01,24C20,3800-3899,FAWN CREEK,Burglary,Residence or House,1.0,19,3800-3899 FAWN CREEK,"(34.1722017, -77.8678803)"
2017-01-01,21I60,3900-3999,TERMINAL,Theft,Airport Terminal,1.0,20,3900-3999 TERMINAL,"(37.483338, -77.4673679)"
2017-01-01,3B10,4200-4299,LOCKFIELD,Burglary,Apartment,1.0,23,4200-4299 LOCKFIELD,"(29.830561, -95.48545299999999)"
2017-01-01,3B10,11000-11099,NORTHWEST,Theft,Other Parking Lot,1.0,19,11000-11099 NORTHWEST,"(35.59272780000001, -97.7180795)"
2017-01-01,3B10,4600-4699,34TH,Theft,Residence or House,1.0,3,4600-4699 34TH,"(32.2912746, -81.118211)"
2017-01-01,3B10,3900-3999,GARDENDALE,Burglary,Residence or House,1.0,15,3900-3999 GARDENDALE,"(29.5218396, -98.56546790000002)"
2017-01-01,2A20,800-899,CAVALCADE,Theft,"Road, Street, or Sidewalk",1.0,14,800-899 CAVALCADE,"(29.8032266, -95.3611366)"
2017-01-01,2A20,3600-3699,MAIN,Theft,Restaurant or Cafeteria,1.0,15,3600-3699 MAIN,"(33.6542527, -84.4496739)"
2017-01-01,2A10,600-699,PATTON,Theft,Strip Business Center Parking Lot,1.0,11,600-699 PATTON,"(35.5891214, -82.5756249)"
2017-01-01,2A30,2100-2199,SHEPHERD,Theft,Residence or House,1.0,12,2100-2199 SHEPHERD,"(29.778486, -95.40962999999999)"
2017-01-01,20G80,1500-1599,ELDRIDGE,Theft,Grocery Store or Supermarket,1.0,13,1500-1599 ELDRIDGE,"(29.7575954, -95.6253873)"
2017-01-01,6B40,8200-8299,AVERT,AutoTheft,Driveway,1.0,9,8200-8299 AVERT,"(29.8787839, -95.4162501)"
2017-01-01,2A10,2900-2999,NORTH,Theft,Service or Gas Station,1.0,21,2900-2999 NORTH,"(39.0770353, -108.497114)"
2017-01-01,2A10,800-899,JOYCE,Theft,Residence or House,1.0,17,800-899 JOYCE,"(30.9308271, -93.2939548)"
2017-01-01,2A10,3600-3699,IRVINGTON,Robbery,Restaurant or Cafeteria Parking Lot,1.0,22,3600-3699 IRVINGTON,"(29.7931722, -95.36085899999999)"
2017-01-01,2A30,300-399,11TH,Theft,"Road, Street, or Sidewalk",1.0,15,300-399 11TH,"(40.68353760000001, -93.1285113)"
2017-01-01,2A30,1100-1199,HARVARD,Theft,"Road, Street, or Sidewalk",1.0,8,1100-1199 HARVARD,"(34.5742224, -78.2425947)"
2017-01-01,3B10,4300-4399,SHERWOOD,Burglary,Apartment,1.0,11,4300-4399 SHERWOOD,"(42.2708092, -83.5747159)"
2017-01-01,3B30,3400-3499,ELLA,Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,1.0,17,3400-3499 ELLA,"(43.5253902, -82.7364482)"
2017-01-01,2A60,1800-1899,ELLA,Theft,Grocery Store or Supermarket,1.0,10,1800-1899 ELLA,"(43.5253902, -82.7364482)"
2017-01-01,24C30,4400-4499,KINGWOOD,Theft,Bank,1.0,13,4400-4499 KINGWOOD,"(30.0495304, -95.18567449999999)"
2017-01-01,2A40,1800-1899,JOHNSON,Theft,Driveway,1.0,9,1800-1899 JOHNSON,"(35.8740979, -90.18278000000001)"
2017-01-01,24C30,2500-2599,MAIN,Theft,Train (Not Metro) Terminal,1.0,16,2500-2599 MAIN,"(33.8665425, -79.05370789999999)"
2017-01-01,24C20,2900-2999,SYCAMORE SPRINGS,Theft,Apartment Parking Lot,1.0,11,2900-2999 SYCAMORE SPRINGS,"(30.0696797, -95.1963931)"
2017-01-01,6B40,1100-1199,RAINY RIVER,Theft,Driveway,1.0,11,1100-1199 RAINY RIVER,"(40.824532, -96.6085626)"
2017-01-01,21I50,3500-3599,TERMINAL,Theft,Airport Terminal,1.0,16,3500-3599 TERMINAL,"(35.9987223, -79.6938777)"
2017-01-01,20G80,14300-14399,WESTHEIMER,Theft,Department or Discount Store,1.0,13,14300-14399 WESTHEIMER,"(29.7604267, -95.3698028)"
2017-01-01,20G70,12800-12899,WESTHEIMER,Burglary,Commercial Building,1.0,3,12800-12899 WESTHEIMER,"(29.735676, -95.6130711)"
2017-01-01,20G80,2600-2699,JOEL WHEATON,Burglary,Rental Storage Facility,1.0,8,2600-2699 JOEL WHEATON,"(29.7347025, -95.6340034)"
2017-01-01,1A50,4800-4899,LOOP CENTRAL,Theft,Other Parking Lot,1.0,17,4800-4899 LOOP CENTRAL,"(35.2117687, -80.7625127)"
2017-01-01,1A50,2900-2999,WESTPARK,Theft,"Hotel, Motel, Inn, Etc.",1.0,9,2900-2999 WESTPARK,"(41.4794629, -81.57536619999999)"
2017-01-01,5F30,12900-12999,NORTHWEST,Theft,Restaurant or Cafeteria Parking Lot,1.0,19,12900-12999 NORTHWEST,"(35.6103531, -97.7584236)"
2017-01-01,5F30,14100-14199,PACKARD,AutoTheft,Driveway,1.0,9,14100-14199 PACKARD,"(29.8535455, -95.52902429999999)"
2017-01-01,5F30,12900-12999,NORTHWEST,Theft,Hotel or Motel Parking Lot,1.0,9,12900-12999 NORTHWEST,"(35.6103531, -97.7584236)"
2017-01-01,5F30,12600-12699,HEMPSTEAD,Aggravated Assault,Mobile Home,1.0,1,12600-12699 HEMPSTEAD,"(40.7062128, -73.6187397)"
2017-01-01,5F30,6500-6599,HOLLISTER,Aggravated Assault,Apartment Parking Lot,1.0,4,6500-6599 HOLLISTER,"(29.8596714, -95.5046745)"
2017-01-01,20G10,5900-5999,RANCHESTER,Aggravated Assault,Apartment Parking Lot,1.0,2,5900-5999 RANCHESTER,"(29.7132757, -95.5474533)"
2017-01-01,1A20,200-299,AVONDALE,Theft,"Road, Street, or Sidewalk",1.0,13,200-299 AVONDALE,"(35.9075766, -86.87334109999999)"
2017-01-01,20G10,9400-9499,BELLAIRE,Theft,Apartment Parking Lot,1.0,14,9400-9499 BELLAIRE,"(29.7053205, -95.54980250000001)"
2017-01-01,5F20,8600-8699,PITNER,Aggravated Assault,Apartment Parking Lot,1.0,4,8600-8699 PITNER,"(29.8293721, -95.5029206)"
2017-01-01,5F20,1800-1899,WIRT,Aggravated Assault,Apartment,2.0,0,1800-1899 WIRT,"(29.8028522, -95.48482010000001)"
2017-01-01,5F20,9200-9299,LONG POINT,Aggravated Assault,Apartment Parking Lot,1.0,19,9200-9299 LONG POINT,"(29.7994091, -95.51770379999999)"
2017-01-01,5F20,8100-8199,AMELIA,Theft,"Other, Unknown, or Not Listed",1.0,15,8100-8199 AMELIA,"(38.3613088, -90.3683429)"
2017-01-01,5F20,8600-8699,PITNER,Aggravated Assault,Apartment,1.0,14,8600-8699 PITNER,"(29.8293721, -95.5029206)"
2017-01-01,20G10,10300-10399,RICHMOND,Aggravated Assault,Other Parking Lot,2.0,1,10300-10399 RICHMOND,"(37.5407246, -77.4360481)"
2017-01-01,6B20,5600-5699,YALE,Aggravated Assault,Apartment,1.0,23,5600-5699 YALE,"(29.84741349999999, -95.4026677)"
2017-01-01,1A50,2500-2599,LOOP,Theft,"Hotel, Motel, Inn, Etc.",1.0,13,2500-2599 LOOP,"(29.6787031, -95.41698699999999)"
2017-01-01,5F30,6600-6699,GESSNER,Aggravated Assault,Apartment,2.0,14,6600-6699 GESSNER,"(29.8626202, -95.5432352)"
2017-01-01,1A30,2400-2499,DRISCOLL,Theft,Driveway,1.0,5,2400-2499 DRISCOLL,"(36.1863451, -115.2636268)"
2017-01-01,1A30,2800-2899,SHEPHERD,Theft,Restaurant or Cafeteria,1.0,20,2800-2899 SHEPHERD,"(29.7406775, -95.41073209999999)"
2017-01-01,1A30,1200-1299,WESTHEIMER,Robbery,Bus Stop,1.0,23,1200-1299 WESTHEIMER,"(29.7448924, -95.393587)"
2017-01-01,1A30,2200-2299,ALABAMA,Robbery,"Road, Street, or Sidewalk",1.0,23,2200-2299 ALABAMA,"(28.0112118, -82.104981)"
2017-01-01,6B10,5600-5699,LUNA,Burglary,Residence or House,1.0,4,5600-5699 LUNA,"(41.7523609, -87.7600027)"
2017-01-01,6B10,7400-7499,NORTH,AutoTheft,Grocery Store or Supermarket Parking Lot,1.0,10,7400-7499 NORTH,"(33.476953, -101.7013938)"
2017-01-01,6B10,400-499,LITTLE YORK,Theft,Miscellaneous Business (Non-Specific),1.0,7,400-499 LITTLE YORK,"(29.8700311, -95.37937339999999)"
2017-01-01,5F30,13200-13299,NORTHWEST,Theft,Restaurant or Cafeteria Parking Lot,1.0,20,13200-13299 NORTHWEST,"(35.6135552, -97.7678598)"
2017-01-01,6B10,6200-6299,NORTHLINE,Theft,Residence or House,1.0,7,6200-6299 NORTHLINE,"(30.4968825, -95.39960959999999)"
2017-01-01,6B10,5800-5899,AIRLINE,Aggravated Assault,Restaurant or Cafeteria,1.0,16,5800-5899 AIRLINE,"(29.9744239, -90.1954241)"
2017-01-01,1A20,600-699,HYDE PARK,Aggravated Assault,Bar or Night Club,1.0,12,600-699 HYDE PARK,"(41.7904093, -111.8112269)"
2017-01-01,1A20,2300-2399,SMITH,Aggravated Assault,,1.0,0,2300-2399 SMITH,"(38.0675299, -87.20472029999999)"
2017-01-01,5F40,8300-8399,MILLS,Theft,"Theatres, Dinner Theaters, Auditoriums",1.0,1,8300-8399 MILLS,"(43.134578, -88.0148789)"
2017-01-01,1A50,5100-5199,BUFFALO SPEEDWAY,Theft,Nursing Home,1.0,12,5100-5199 BUFFALO SPEEDWAY,"(29.7283652, -95.42804819999999)"
2017-01-01,1A20,400-499,MARSHALL,Theft,"Road, Street, or Sidewalk",1.0,13,400-499 MARSHALL,"(29.1819143, -81.011198)"
2017-01-01,5F30,14100-14199,NORTHWEST,Theft,"Other, Unknown, or Not Listed",1.0,12,14100-14199 NORTHWEST,"(35.6232253, -97.7878183)"
2017-01-01,6B10,7300-7399,NORTHLINE,Theft,Apartment Parking Lot,1.0,8,7300-7399 NORTHLINE,"(30.4968825, -95.39960959999999)"
2017-01-01,20G80,800-899,WEST OAKS MALL,Theft,Department or Discount Store,1.0,8,800-899 WEST OAKS MALL,"(27.2203654, -81.87475289999999)"
2017-01-01,6B20,6300-6399,WHEATLEY,AutoTheft,Hotel or Motel Parking Lot,1.0,10,6300-6399 WHEATLEY,"(29.8558457, -95.4289695)"
2017-01-01,20G30,3400-3499,WALNUT BEND,Theft,Apartment Parking Lot,1.0,13,3400-3499 WALNUT BEND,"(29.7248415, -95.5676474)"
2017-01-01,4F20,2900-2999,CAMPBELL,Theft,Other Parking Lot,1.0,15,2900-2999 CAMPBELL,"(41.6845408, -86.6941983)"
2017-01-01,20G60,13100-13199,KATY,Theft,Convenience Store,1.0,17,13100-13199 KATY,"(29.7857853, -95.8243956)"
2017-01-01,20G70,12600-12699,MEDFIELD,AutoTheft,Apartment Parking Lot,1.0,15,12600-12699 MEDFIELD,"(42.18758260000001, -71.30645969999999)"
2017-01-01,4F10,9900-9999,WESTVIEW,Theft,Driveway,1.0,11,9900-9999 WESTVIEW,"(40.9098393, -74.585613)"
2017-01-01,1A10,800-899,MCKEE,Theft,"Road, Street, or Sidewalk",1.0,17,800-899 MCKEE,"(35.2743083, -119.0132929)"
2017-01-01,1A10,1800-1899,RUIZ,Aggravated Assault,Rehabilitation Center,1.0,7,1800-1899 RUIZ,"(29.4368009, -98.53050999999999)"
2017-01-01,1A10,800-899,MCKEE,Theft,"Road, Street, or Sidewalk",1.0,1,800-899 MCKEE,"(35.2743083, -119.0132929)"
2017-01-01,4F20,10000-10099,HAMMERLY,AutoTheft,Apartment Parking Lot,1.0,15,10000-10099 HAMMERLY,"(29.8128576, -95.54068120000001)"
2017-01-01,1A10,2000-2099,MAIN,Robbery,"Road, Street, or Sidewalk",1.0,8,2000-2099 MAIN,"(44.3990702, -122.719677)"
2017-01-01,1A10,800-899,CAROLINE,AutoTheft,Commercial Parking Lot or Garage,1.0,11,800-899 CAROLINE,"(32.1045242, -95.4304638)"
2017-01-01,6B30,10100-10199,WILD HOLLOW,Theft,Residence or House,1.0,8,10100-10199 WILD HOLLOW,"(29.887351, -95.49276139999999)"
2017-01-01,20G20,200-299,WILCREST,Theft,Apartment,1.0,9,200-299 WILCREST,"(29.750749, -95.572599)"
2017-01-01,3B50,900-999,TIDWELL,Theft,Department or Discount Store,1.0,18,900-999 TIDWELL,"(29.8462736, -95.36438779999999)"
2017-01-01,3B50,200-299,REBECCA,Theft,Residence or House,1.0,21,200-299 REBECCA,"(32.4007378, -94.95662639999999)"
2017-01-01,3B50,4400-4499,NORTH,Theft,Vacant Grocery Store or Supermarket,1.0,15,4400-4499 NORTH,"(41.9052092, -87.9978536)"
2017-01-01,20G80,2600-2699,JOEL WHEATON,Burglary,Rental Storage Facility,1.0,3,2600-2699 JOEL WHEATON,"(29.7347025, -95.6340034)"
2017-01-01,1A10,800-899,MCKEE,Theft,Bar or Night Club,1.0,7,800-899 MCKEE,"(35.2743083, -119.0132929)"
2017-01-01,6B20,4500-4599,OAK SHADOWS,Burglary,Residence or House,1.0,3,4500-4599 OAK SHADOWS,"(29.843696, -95.4554677)"
2017-01-01,20G50,800-899,TOWN AND COUNTRY PVT,AutoTheft,Residence or House,1.0,8,800-899 TOWN AND COUNTRY PVT,"(41.8307558, -73.01696319999999)"
2017-01-01,20G50,300-399,MEMORIAL CITY,Theft,Miscellaneous Business (Non-Specific),1.0,14,300-399 MEMORIAL CITY,"(35.323515, -81.900629)"
2017-01-01,20G30,2700-2799,SAM HOUSTON,Robbery,Service or Gas Station,1.0,17,2700-2799 SAM HOUSTON,"(29.93729009999999, -95.4639464)"
2017-01-01,20G30,2800-2899,WILCREST,AutoTheft,"Road, Street, or Sidewalk",1.0,19,2800-2899 WILCREST,"(29.7331258, -95.57192959999999)"
2017-01-01,20G30,12200-12299,RICHMOND,Theft,Convenience Store,1.0,22,12200-12299 RICHMOND,"(37.5407246, -77.4360481)"
2017-01-01,20G30,3100-3199,HAYES,Aggravated Assault,Apartment Parking Lot,1.0,2,3100-3199 HAYES,"(29.7307704, -95.5769069)"
2017-01-01,20G30,10700-10799,MEADOWGLEN,Theft,Apartment Parking Lot,1.0,6,10700-10799 MEADOWGLEN,"(33.2191659, -117.1020928)"
2017-01-01,5F10,1000-1099,WIRT,Robbery,"Road, Street, or Sidewalk",1.0,12,1000-1099 WIRT,"(29.7847398, -95.48492460000001)"
2017-01-01,5F10,1900-1999,THONIG,Theft,Residence or House,1.0,10,1900-1999 THONIG,"(29.804886, -95.47725040000002)"
2017-01-01,20G50,11200-11299,KATY,Theft,Restaurant or Cafeteria Parking Lot,1.0,23,11200-11299 KATY,"(29.7857853, -95.8243956)"
2017-01-01,4F30,16000-16099,CLAY,Theft,Warehouse,1.0,7,16000-16099 CLAY,"(40.605135, -81.36551299999999)"
2017-01-01,20G40,11200-11299,OLYMPIA,Burglary,Apartment,1.0,0,11200-11299 OLYMPIA,"(47.0378741, -122.9006951)"
2017-01-01,20G40,2600-2699,WOODLAND PARK,AutoTheft,Apartment Parking Lot,1.0,12,2600-2699 WOODLAND PARK,"(42.0274665, -87.8588403)"
2017-01-01,20G40,2300-2399,WILCREST,Burglary,Apartment Rental Office,1.0,10,2300-2399 WILCREST,"(29.741406, -95.5724566)"
2017-01-01,20G40,2100-2199,HAYES,Burglary,Apartment,1.0,16,2100-2199 HAYES,"(33.695303, -117.7693631)"
2017-01-01,4F30,18800-18899,SAUMS,Theft,Other Parking Lot,1.0,12,18800-18899 SAUMS,"(29.8012819, -95.7237122)"
2017-01-01,4F30,10700-10799,WESTVIEW,Theft,Convenience Store,1.0,15,10700-10799 WESTVIEW,"(40.9098393, -74.585613)"
2017-01-01,20G50,900-999,GESSNER,Theft,Department or Discount Store,1.0,13,900-999 GESSNER,"(29.78338, -95.545142)"
2017-01-01,20G40,2100-2199,WILCREST,Robbery,Apartment Parking Lot,1.0,2,2100-2199 WILCREST,"(29.744897, -95.572712)"
2017-01-01,7C30,8500-8599,MAGNA,AutoTheft,Apartment Parking Lot,1.0,10,8500-8599 MAGNA,"(40.7098121, -112.0947297)"
2017-01-01,2A50,4600-4699,NETT,Theft,Bar or Night Club,1.0,15,4600-4699 NETT,"(29.7719688, -95.40729209999999)"
2017-01-01,16E10,12700-12799,KIEV HILLS,Theft,Residence or House,1.0,14,12700-12799 KIEV HILLS,"(29.6206397, -95.40376649999999)"
2017-01-01,17E30,9800-9899,BELLFORT,AutoTheft,Rental Storage Facility,1.0,10,9800-9899 BELLFORT,"(29.6758199, -95.26749989999999)"
2017-01-01,17E30,8800-8899,GUSTINE,Robbery,Apartment Parking Lot,1.0,20,8800-8899 GUSTINE,"(29.67006529999999, -95.5334645)"
2017-01-01,17E30,10200-10299,BELLFORT,Burglary,Apartment,1.0,20,10200-10299 BELLFORT,"(29.6532345, -95.5589074)"
2017-01-01,13D20,8900-8999,GLENCREST,Burglary,Apartment,1.0,12,8900-8999 GLENCREST,"(29.6594661, -95.2727723)"
2017-01-01,10H10,300-399,STILES,Theft,Apartment Parking Lot,1.0,18,300-399 STILES,"(35.976527, -96.82458)"
2017-01-01,10H10,3600-3699,CANAL,Theft,,1.0,16,3600-3699 CANAL,"(40.6419521, -111.9313132)"
2017-01-01,10H10,2800-2899,CANAL,Aggravated Assault,Apartment,1.0,7,2800-2899 CANAL,"(29.755689, -95.3428897)"
2017-01-01,11H30,2900-2999,BROADWAY,AutoTheft,Residence or House,1.0,13,2900-2999 BROADWAY,"(39.6638333, -104.9871351)"
2017-01-01,10H40,1100-1199,MCILHENNY,Robbery,"Road, Street, or Sidewalk",1.0,0,1100-1199 MCILHENNY,"(29.7460388, -95.3722705)"
2017-01-01,14D10,5900-5999,LOOP,AutoTheft,Apartment Parking Lot,1.0,1,5900-5999 LOOP,"(29.7174191, -95.4606567)"
2017-01-01,14D10,4500-4599,GRIGGS,Theft,Bar or Night Club Parking Lot,1.0,23,4500-4599 GRIGGS,"(29.7016462, -95.3483489)"
2017-01-01,8C30,8800-8899,DENTON,Rape,Convenience Store Parking Lot,1.0,20,8800-8899 DENTON,"(41.2028926, -85.0956922)"
2017-01-01,13D20,8200-8299,BROADWAY,Robbery,Department or Discount Store,1.0,21,8200-8299 BROADWAY,"(39.5679559, -104.9884469)"
2017-01-01,8C30,9200-9299,MESA,Burglary,"Church, Synagogue, or Temple",1.0,22,9200-9299 MESA,"(29.8453284, -95.26202579999999)"
2017-01-01,8C30,8000-8099,MESA,Theft,Department or Discount Store,1.0,10,8000-8099 MESA,"(29.8360096, -95.2616694)"
2017-01-01,8C40,9200-9299,MIRAWOOD,Theft,Residence or House,1.0,13,9200-9299 MIRAWOOD,"(29.8448197, -95.25178269999999)"
2017-01-01,17E20,7400-7499,BISSONNET,Theft,Apartment,1.0,22,7400-7499 BISSONNET,"(29.687047, -95.51192)"
2017-01-01,17E20,7200-7299,KINGS GATE,Burglary,Apartment,1.0,23,7200-7299 KINGS GATE,"(45.4464717, -122.5900392)"
2017-01-01,8C50,9800-9899,TRUMPET,Theft,Residence or House,1.0,13,9800-9899 TRUMPET,"(42.5276931, -83.7958104)"
2017-01-01,8C50,9800-9899,ARVIN,AutoTheft,"Road, Street, or Sidewalk",1.0,12,9800-9899 ARVIN,"(29.8554476, -95.26877209999999)"
2017-01-01,8C50,9600-9699,GLENWOOD FOREST,Theft,Bar or Night Club,1.0,1,9600-9699 GLENWOOD FOREST,"(29.8509118, -95.2702547)"
2017-01-01,17E10,5900-5999,BISSONNET,Robbery,Apartment,1.0,23,5900-5999 BISSONNET,"(29.699842, -95.4858378)"
2017-01-01,14D20,5200-5299,CARMEN,Aggravated Assault,Residence or House,2.0,23,5200-5299 CARMEN,"(36.1851347, -115.2121893)"
2017-01-01,14D20,7400-7499,CULLEN,Aggravated Assault,Pool Hall or Game Room,1.0,21,7400-7499 CULLEN,"(29.6803758, -95.3559712)"
2017-01-01,14D20,9300-9399,ST LO,Aggravated Assault,Residence or House,1.0,21,9300-9399 ST LO,"(39.5019751, -76.83313179999999)"
2017-01-01,17E10,6000-6099,ELM,AutoTheft,Apartment Parking Lot,1.0,8,6000-6099 ELM,"(33.8635684, -118.1882604)"
2017-01-01,8C30,7300-7399,WAYSIDE,Theft,Apartment Parking Lot,1.0,10,7300-7399 WAYSIDE,"(29.8282714, -95.2840378)"
2017-01-01,13D20,7000-7099,MONROE,Burglary,Restaurant or Cafeteria,1.0,7,7000-7099 MONROE,"(35.1728086, -80.7574471)"
2017-01-01,13D20,6000-6099,TROPICAL,Burglary,Garage or Carport,1.0,10,6000-6099 TROPICAL,"(29.6779462, -95.299456)"
2017-01-01,13D20,7200-7299,RICHWOOD,Theft,Driveway,1.0,6,7200-7299 RICHWOOD,"(34.7811165, -92.35476849999999)"
2017-01-01,7C30,9000-9099,DODSON,Theft,Other Parking Lot,1.0,18,9000-9099 DODSON,"(29.8422619, -95.33163719999999)"
2017-01-01,7C30,7200-7299,DANE,Aggravated Assault,"Road, Street, or Sidewalk",1.0,11,7200-7299 DANE,"(29.8245986, -95.336687)"
2017-01-01,2A50,6700-6799,ARNOT,Theft,"Parks and Recreation, Zoo, Swimming Pool",1.0,10,6700-6799 ARNOT,"(35.14236, -102.0104159)"
2017-01-01,12D20,12300-12399,GULF,Theft,Sexually Oriented Club,1.0,4,12300-12399 GULF,"(27.7780765, -82.78079079999999)"
2017-01-01,7C50,15600-15699,JFK,Burglary,Liquor Store,1.0,4,15600-15699 JFK,"(29.9437365, -95.3307567)"
2017-01-01,18F50,6700-6799,MARINETTE,Rape,"Road, Street, or Sidewalk",1.0,19,6700-6799 MARINETTE,"(29.7074255, -95.51864979999999)"
2017-01-01,8C10,9600-9699,HOMESTEAD,Rape,Residence or House,1.0,17,9600-9699 HOMESTEAD,"(30.4773719, -88.3266439)"
2017-01-01,18F20,5100-5199,WESTHEIMER,Theft,Department or Discount Store,1.0,12,5100-5199 WESTHEIMER,"(29.7410316, -95.4647572)"
2017-01-01,18F20,2800-2899,POST OAK,Theft,Mall Common Area,1.0,16,2800-2899 POST OAK,"(29.7370769, -95.46221829999999)"
2017-01-01,12D40,11800-11899,ALGONQUIN,Theft,Apartment,1.0,10,11800-11899 ALGONQUIN,"(42.1655801, -88.29424929999999)"
2017-01-01,12D70,200-299,EL DORADO,AutoTheft,Apartment Parking Lot,1.0,7,200-299 EL DORADO,"(47.4065856, -97.0605077)"
2017-01-01,12D70,100-199,EL DORADO,Theft,Other Parking Lot,1.0,10,100-199 EL DORADO,"(42.007054, -92.0860946)"
2017-01-01,12D70,600-699,BAYBROOK MALL,AutoTheft,Mall Parking Lot,1.0,19,600-699 BAYBROOK MALL,"(29.54264849999999, -95.1533435)"
2017-01-01,13D10,5000-5099,WAYSIDE,Theft,Service or Gas Station,1.0,22,5000-5099 WAYSIDE,"(29.8061214, -95.2844743)"
2017-01-01,18F20,5400-5499,RICHMOND,Aggravated Assault,Apartment,1.0,12,5400-5499 RICHMOND,"(29.7318273, -95.4719446)"
2017-01-01,18F10,7600-7699,KATY,Theft,Hotel or Motel Parking Lot,1.0,9,7600-7699 KATY,"(29.7833267, -95.4676034)"
2017-01-01,13D10,3500-3599,GLENMORE,Aggravated Assault,Residence or House,1.0,5,3500-3599 GLENMORE,"(39.151351, -84.61258040000001)"
2017-01-01,13D10,3300-3399,TELEPHONE,Burglary,Commercial Building,1.0,1,3300-3399 TELEPHONE,"(29.7111206, -95.31512339999999)"
2017-01-01,14D30,5000-5099,NORTHRIDGE,Rape,Residence or House,1.0,15,5000-5099 NORTHRIDGE,"(40.7552569, -95.6490053)"
2017-01-01,17E40,6500-6599,BELLFORT,Robbery,"Road, Street, or Sidewalk",1.0,0,6500-6599 BELLFORT,"(29.666571, -95.31427409999999)"
2017-01-01,17E40,12500-12599,SANDPIPER,Aggravated Assault,Highway or Freeway,1.0,3,12500-12599 SANDPIPER,"(29.64099299999999, -95.50501799999999)"
2017-01-01,17E40,7800-7899,ROLLINGBROOK,Aggravated Assault,Residence or House,1.0,5,7800-7899 ROLLINGBROOK,"(29.6638099, -95.5143489)"
2017-01-01,17E40,6400-6499,DELLFERN,Theft,Driveway,1.0,8,6400-6499 DELLFERN,"(29.6492762, -95.50324049999999)"
2017-01-01,17E40,7800-7899,SECRETARIAT,AutoTheft,"Road, Street, or Sidewalk",1.0,9,7800-7899 SECRETARIAT,"(29.6423849, -95.51250230000001)"
2017-01-01,13D20,6200-6299,SIMSDALE,Aggravated Assault,Residence or House,1.0,1,6200-6299 SIMSDALE,"(29.6564395, -95.31437989999999)"
2017-01-01,8C10,7100-7199,SAYERS,Robbery,"Road, Street, or Sidewalk",1.0,1,7100-7199 SAYERS,"(29.8241114, -95.3323995)"
2017-01-01,8C10,5700-5799,TIDWELL,Theft,Convenience Store,1.0,16,5700-5799 TIDWELL,"(29.84842999999999, -95.31093700000001)"
2017-01-01,17E10,6500-6599,HILLCROFT,Robbery,Apartment Parking Lot,1.0,6,6500-6599 HILLCROFT,"(29.5100087, -98.67352029999999)"
2017-01-01,17E10,6200-6299,GULFTON,Aggravated Assault,Apartment Parking Lot,2.0,5,6200-6299 GULFTON,"(29.7171513, -95.49080389999999)"
2017-01-01,14D20,3000-3099,CHIMIRA,AutoTheft,"Road, Street, or Sidewalk",1.0,20,3000-3099 CHIMIRA,"(29.6476659, -95.3800742)"
